city,startup_count,funding_crore,industry_count,investor_count,growth,startup_score,funding_score,industry_score,investor_score,growth_score,hotspot_score,rank
Bhubaneswar,3,271.75,3,3,0,0.0020597322348094747,0.0010706077112120896,0.03773584905660377,0.0026785714285714286,1,15.69,24
Trivandrum,3,166.83,3,3,0,0.0020597322348094747,0.0006572566125538653,0.03773584905660377,0.0026785714285714286,1,15.67,25
Bangaluru,4,13.0,3,0,0,0.003089598352214212,5.12158242714155e-05,0.03773584905660377,0.0,1,15.66,26
Kalpakkam,1,2100.0,2,0,0,0.0,0.008273325459228658,0.018867924528301886,0.0,1,15.53,27
Ghaziabad,4,41.51,2,1,0,0.003089598352214212,0.0001635360665774198,0.018867924528301886,0.0008928571428571428,1,15.39,28
Faridabad,2,373.25,2,1,0,0.0010298661174047373,0.0014704851084081413,0.018867924528301886,0.0008928571428571428,1,15.37,29
Nagpur,3,1.18,2,3,0,0.0020597322348094747,4.648820972328484e-06,0.018867924528301886,0.0026785714285714286,1,15.37,30
Andheri,2,179.13,2,1,0,0.0010298661174047373,0.0007057146616722045,0.018867924528301886,0.0008928571428571428,1,15.34,31
Udupi,2,99.0,2,2,0,0.0010298661174047373,0.0003900282002207796,0.018867924528301886,0.0017857142857142857,1,15.34,32
Cochin,2,25.0,2,1,0,0.0010298661174047373,9.849196975272212e-05,0.018867924528301886,0.0008928571428571428,1,15.33,33
Panaji,2,6.81,2,2,0,0.0010298661174047373,2.6829212560641506e-05,0.018867924528301886,0.0017857142857142857,1,15.33,34
Lucknow,2,8.25,2,1,0,0.0010298661174047373,3.25023500183983e-05,0.018867924528301886,0.0008928571428571428,1,15.32,35
Kota,2,0.02,2,1,0,0.0010298661174047373,7.87935758021777e-08,0.018867924528301886,0.0008928571428571428,1,15.32,36
Patna,2,596.0,1,2,0,0.0010298661174047373,0.0023480485589048956,0.0,0.0017857142857142857,1,15.12,37
Surat,2,298.9,1,2,0,0.0010298661174047373,0.0011775699903635456,0.0,0.0017857142857142857,1,15.08,38
Surabardi,1,378.0,1,3,0,0.0,0.0014891985826611586,0.0,0.0026785714285714286,1,15.07,39
Agra,2,0.0,1,2,0,0.0010298661174047373,0.0,0.0,0.0017857142857142857,1,15.05,40
Taramani,1,314.16,1,1,0,0.0,0.0012376894887006075,0.0,0.0008928571428571428,1,15.05,41
Hubli,2,0.0,1,2,0,0.0010298661174047373,0.0,0.0,0.0017857142857142857,1,15.05,42
Alleppey,1,222.2,1,0,0,0.0,0.0008753966271621942,0.0,0.0,1,15.03,43
Udaipur,1,4.13,1,2,0,0.0,1.6270873403149695e-05,0.0,0.0017857142857142857,1,15.02,44
Dhingsara,1,66.0,1,1,0,0.0,0.0002600188001471864,0.0,0.0008928571428571428,1,15.02,45
Siliguri,1,49.5,1,2,0,0.0,0.0001950141001103898,0.0,0.0017857142857142857,1,15.02,46
Amritsar,1,2.48,1,1,0,0.0,9.770403399470035e-06,0.0,0.0008928571428571428,1,15.01,47
Uttar Pradesh,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,48
Tirunelveli,1,42.0,1,1,0,0.0,0.00016546650918457316,0.0,0.0008928571428571428,1,15.01,49
Chembur,1,2.64,1,1,0,0.0,1.0400752005887457e-05,0.0,0.0008928571428571428,1,15.01,50
Kancheepuram,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,51
Gwalior,1,4.13,1,1,0,0.0,1.6270873403149695e-05,0.0,0.0008928571428571428,1,15.01,52
